French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
bureau,office
